日	A	日曰
廿卜尸心	TYSP	𦴪
廿卜尸卜	TYSY	菸
廿卜廿	TYT	苙
廿卜廿日	TYTA	萻
廿卜廿月	TYTB	𦽴
廿卜廿土	TYTG	蕫
廿卜廿戈	TYTI	𦲂𦵑
廿卜廿十	TYTJ	莘
廿卜廿心	TYTP	薏
廿卜廿口	TYTR	菩蒟
廿卜廿山	TYTU	䔔
廿卜廿女	TYTV	菨
廿卜山月	TYUB	蓠
廿卜山水	TYUE	𡖂
廿卜女	TYV	芒
廿卜女月	TYVB	䕍
廿卜女土	TYVG	蕹
廿卜女人	TYVO	荄
廿卜女心	TYVP	莣
廿卜女山	TYVU	荒
廿卜女田	TYVW	蓄
廿卜田戈	TYWI	蓾
廿卜田一	TYWM	䕊
廿卜田女	TYWV	蓑
廿卜難	TYX	薺
廿卜卜	TYY	苄
廿卜卜月	TYYB	藡
廿卜卜人	TYYO	蘧
山	U	山
山日	UA	㞱
山日土戈	UAGI	嵵
山日竹山	UAHU	嵋
山日一竹	UAMH	崵
山日一人	UAMO	崼
山日弓日	UANA	𡼏
山日弓土	UANG	㠈
山日心心	UAPP	崐崑
山日心女	UAPV	嵑
山日山	UAU	岜
山日女	UAV	峎
山月	UB	岄
山月日金	UBAC	㟰
山月月	UBB	崩
山月金弓	UBCN	崱
山月金女	UBCV	巊
山月竹日火	UBHAF	䳪
山月竹山	UBHU	岘
山月十十	UBJJ	㟦
山月大	UBK	岗
山月中弓	UBLN	剬剻㔒
山月一	UBM	岨
山月一月金	UBMBC	顓
山月一月人	UBMBO	颛
山月一水	UBME	嵈
山月一心	UBMP	嶾
山月一口	UBMR	峒
山月一女弓	UBMVN	㼷
山月弓木	UBND	㟊
山月弓中	UBNL	䣙酅
山月弓人	UBNO	歂
山月手口	UBQR	㟘
山月尸木	UBSD	崢
山月廿山	UBTU	崗㟠
山月山山	UBUU	峴𡷹
山月女	UBV	㟎
山月女大	UBVK	嵠
山月卜水	UBYE	㪜
山金	UC	崟崯
山金竹水	UCHE	㚇
山金竹竹	UCHH	㟗
山金戈一	UCIM	嵡
山金弓人	UCNO	嶔
山金人口	UCOR	峪
山金口山	UCRU	㟋
山金尸竹	UCSH	㞣岎
山金田日	UCWA	嶒
山木日一	UDAM	嵖
山木金戈	UDCI	崧㟣
山木木	UDD	崊
山木木戈	UDDI	㠨
山木竹水	UDHE	岥
山木戈戈	UDII	嶘
山木一手	UDMQ	𡺨
山木人人	UDOO	崍
山木尸一土	UDSMG	糶
山木廿	UDT	崃
山木田	UDW	崠崬
山木卜土	UDYG	嵀
山水	UE	凼汖
山水日	UEA	崉
山水土	UEG	埊
山水手	UEQ	峄
山火月	UFB	峭
山火金月	UFCB	嵴
山火木手	UFDQ	嶙
山火木女	UFDV	嵝
山火火木	UFFD	嶸
山火火口	UFFR	巆
山火火尸	UFFS	嶗
山火土戈	UFGI	巀
山火竹日火	UFHAF	䳳
山火大山	UFKU	㞊
山火中弓	UFLN	㓽
山火一大	UFMK	巌
山火弓人	UFNO	㱁
山火人大	UFOK	𪑛
山火手山	UFQU	㟡
山火口山	UFRU	䄐
山火山日	UFUA	𡾡
山土	UG	凷
山土金水	UGCE	崚
山土木戈	UGDI	峙
山土土戈	UGGI	崶
山土土山	UGGU	嶢嶤
山土竹日火	UGHAF	䳽
山土大	UGK	㞿
山土弓戈	UGNI	嶹
山土弓人	UGNO	崁
山竹	UH	匕
山竹日	UHA	岶
山竹日水	UHAE	㟫
山竹日火	UHAF	嶋
山竹日土	UHAG	崲
山竹日十	UHAJ	㟸
山竹月大	UHBK	㠗
山竹木十	UHDJ	嵙
山竹木弓	UHDN	峲
山竹木心	UHDP	嵊
山竹木女	UHDV	崣
山竹木田	UHDW	嶓
山竹水	UHE	岅
山竹水十	UHEJ	峯峰
山竹水手	UHEQ	𡶶
山竹水口	UHER	峈峉
山竹水卜	UHEY	峂
山竹土口	UHGR	峼
山竹竹水	UHHE	㠟
山竹竹十	UHHJ	崥
山竹竹中	UHHL	峁
山竹竹田	UHHW	嵧
山竹戈	UHI	嵬
山竹戈女	UHIV	㠢
山竹十一	UHJM	崜
山竹大	UHK	岆
山竹大月	UHKB	嶠㠐
山竹大中	UHKL	峤
山竹一月	UHMB	巋
山竹一中	UHML	岓
山竹弓	UHN	㞦
山竹弓月	UHNB	𡶺
山竹弓戈	UHNI	㞩嵐𡺤
山竹弓大	UHNK	岚
山竹人水	UHOE	㠅
山竹人戈	UHOI	崻
山竹人大	UHOK	嶶𡽪
山竹人人	UHOO	嵷
山竹人手	UHOQ	嵂
山竹心日	UHPA	崏
山竹手戈	UHQI	峨峩
山竹口火	UHRF	嵨
山竹口十	UHRJ	嶭
山竹尸	UHS	岝岞
山竹山金	UHUC	巑
山竹山木	UHUD	嵲
山竹山戈	UHUI	㟴
山竹女戈	UHVI	巍
山竹女中	UHVL	岇
山竹女心	UHVP	㞴
山竹難金	UHXC	嶼㠘
山竹難水	UHXE	㟬
山戈日女	UIAV	崀㟍
山戈金水	UICE	峻
山戈木卜	UIDY	㠧
山戈竹日火	UIHAF	䳥
山戈竹火	UIHF	𡻕
山戈竹竹	UIHH	嵗
山戈竹口	UIHR	嵅
山戈竹尸	UIHS	峸𡷫
山戈竹女	UIHV	崴
山戈戈	UII	㟞
山戈戈竹	UIIH	嵾㠁
山戈十月	UIJB	峬
山戈十水	UIJE	㟈
山戈大竹	UIKH	㟥
山戈中月	UILB	㟾
山戈中水	UILE	嵻
山戈中口	UILR	嵣
山戈一月金	UIMBC	䫜
山戈一人	UIMO	𡷑
山戈弓人	UINO	㞫
山戈心	UIP	鬯
山戈廿	UIT	峅
山戈山竹	UIUH	㟌
山戈女	UIV	㞽
山十月金	UJBC	嵮
山十月木	UJBD	㟑
山十月一	UJBM	𡸜𡸽
山十金	UJC	岤
山十金金	UJCC	巔
山十金大	UJCK	㟮
山十金一	UJCM	崆
山十金人	UJCO	巅
山十金口	UJCR	嵱
山十木	UJD	櫱
山十水	UJE	岐
山十火木	UJFD	糱
山十竹手	UJHQ	㟉
山十竹口	UJHR	㟯
山十戈土	UJIG	嶻
山十十中	UJJL	嶄
山十大戈	UJKI	峵
山十大心	UJKP	峔
山十中一戈	UJLMI	蠥
山十中人	UJLO	崨
山十一火	UJMF	崇
山十一口廿	UJMRT	豐
山十弓木	UJND	孼
山十心	UJP	岮
山十心山	UJPU	峣
山十口	UJR	岵
山十尸竹	UJSH	㔎
山十女	UJV	峖
山大	UK	凶
山大月	UKB	峟
山大金火	UKCF	嶚嶛
山大木	UKD	岽
山大土	UKG	峚
山大竹大	UKHK	嶽
山大竹山	UKHU	兇
山大十十	UKJJ	輋
山大大月	UKKB	㟓崤
山大中山	UKLU	崦
山大一口	UKMR	崎㟢
山大弓	UKN	峓
山大人人	UKOO	峽
山大心月	UKPB	嵽
山大手中	UKQL	崭
山大尸	UKS	屴
山大尸口	UKSR	𡶐
山大廿	UKT	峡
山中	UL	屮㞲
山中月大	ULBK	岟
山中中弓	ULLN	岪
山中中尸	ULLS	岿
山中中女	ULLV	㟺
山中手	ULQ	峍
山中田	ULW	岫
山中田女	ULWV	嶁
山一	UM	㞢屸㞬
山一日	UMA	旹
山一日一	UMAM	峘
山一月月	UMBB	嶿
山一月金	UMBC	崸
山一月中	UMBL	峏耑
山一月尸	UMBS	嶀
山一金水	UMCE	巎
山一火	UMF	㞸炭
山一火十	UMFJ	岼
山一火一	UMFM	岯
山一火弓	UMFN	㠒
山一土	UMG	㞷
山一土土	UMGG	崕崖
山一土廿	UMGT	㟖
山一竹火	UMHF	㟲㟶
山一竹中	UMHL	峫
山一竹一	UMHM	㠣
山一戈土	UMIG	峌
山一十	UMJ	屽
山一中戈	UMLI	蚩
山一中大	UMLK	峺
山一一	UMM	亗
山一一十	UMMJ	岸㟁
山一一口	UMMR	峿
山一一山	UMMU	岏
山一弓金	UMNC	嵿
山一弓弓	UMNN	峛
山一弓口	UMNR	岢㞹
山一人土	UMOG	嵟
山一人人	UMOO	豳
山一口	UMR	岩
山一口廿	UMRT	豈
山一廿	UMT	岍
山一廿月	UMTB	巁
山一廿十	UMTJ	崋
山一廿人	UMTO	嶡
山一山	UMU	屼
山一山日	UMUA	嶜
山一女	UMV	妛
山一女竹	UMVH	岈
山一女弓	UMVN	㼘
山一田木	UMWD	㟳
山一田火	UMWF	㟽
山一田土	UMWG	𡺉
山一田女	UMWV	崾
山弓日人	UNAO	嶑
山弓月手	UNBQ	嶰
山弓金口	UNCR	嶦
山弓木	UND	㞨
山弓竹水	UNHE	岋岌
山弓竹尸	UNHS	屷㞧
山弓戈	UNI	岁㞮
山弓戈戈	UNII	嵹
山弓中	UNL	邖
山弓中戈	UNLI	㠕
山弓中一	UNLM	嶐
山弓中弓	UNLN	刿
山弓一月金	UNMBC	䫈
山弓一水	UNME	㟤
山弓一一	UNMM	嵶
山弓一山	UNMU	峗峞
山弓弓	UNN	𠙶
山弓弓水	UNNE	凾
山弓弓火	UNNF	㟜
山弓人	UNO	㰞
山弓人廿	UNOT	嶝
山弓手木	UNQD	嵥
山弓口戈	UNRI	巉
山弓尸木	UNSD	峥
山弓尸一一	UNSMM	翙
山人	UO	㞤㞥
山人土	UOG	崔
山人土月	UOGB	巂雟
山人土木	UOGD	㠍㠎
山人土火	UOGF	嶕
山人土尸	UOGS	𡼕嶲
山人戈金	UOIC	嶺
山人戈戈	UOII	岭岺
山人戈弓	UOIN	岑岒
山人戈口	UOIR	㟏㟔嵢
山人十	UOJ	㞰
山人大	UOK	㞺
山人中大	UOLK	峳
山人中中	UOLL	岕
山人一	UOM	岴
山人一月	UOMB	崘崙
山人一土	UOMG	峑
山人一一	UOMM	崄
山人一弓	UOMN	崳嵛
山人一人	UOMO	嶮
山人一口	UOMR	峆峇
山人弓	UON	屹
山人人土	UOOG	㟇
山人心十	UOPJ	㟆
山人口一	UORM	嶖
山人卜一	UOYM	峜
山心日	UPA	峋
山心金金	UPCC	巓
山心竹竹	UPHH	岉
山心大人	UPKO	嶷㠜
山心口	UPR	岣
山手大木	UQKD	𡻈
山手一月	UQMB	崝
山手人金	UQOC	㠝
山手人土	UQOG	嶊
山手尸大	UQSK	㟼㠂
山手廿一	UQTM	㟛
山口竹山	URHU	岲
山口十戈	URJI	嶯
山口一尸	URMS	㞻
山口人土	UROG	嶉
山口心日	URPA	㟭
山口口十	URRJ	㠆
山口口大	URRK	巗巖
山口口口	URRR	嵓
山口口尸	URRS	崿㟧㠋
山口山	URU	𡵆
山口女心	URVP	岷
山口卜十	URYJ	㟕
山口卜廿十	URYTJ	辥
山尸火戈	USFI	嶎
山尸竹	USH	屶
山尸竹戈	USHI	屻岃
山尸竹口	USHR	岧
山尸十中	USJL	㟹
山尸十口	USJR	崌
山尸大	USK	岖
山尸大口	USKR	峮㟒
山尸一日	USMA	嶍㠄
山尸一竹	USMH	嵺
山尸一口	USMR	㟃
山尸心	USP	㞾
山尸口十	USRJ	㠔
山尸口口	USRR	嶇
山尸尸	USS	岠
山尸山	USU	屺岂
山尸山山	USUU	崛
山廿日	UTA	㟙
山廿日女	UTAV	嶱
山廿月木	UTBD	嵘
山廿月人	UTBO	㠓
山廿月尸	UTBS	崂
山廿月山山	UTBUU	覬
山廿金木	UTCD	嶪嶫
山廿金水	UTCE	巙
山廿金弓竹	UTCNH	豒
山廿金人	UTCO	㠌
山廿金山	UTCU	㟟
山廿金田	UTCW	崷
山廿土火	UTGF	㟱
山廿土戈	UTGI	嶬㠖㠚
山廿土戈廿	UTGIT	豔
山廿土大	UTGK	嵄
山廿土尸	UTGS	𡾞
山廿竹弓	UTHN	凱
山廿竹弓戈	UTHNI	颽
山廿竹女	UTHV	巕
山廿戈大	UTIK	獃
山廿戈廿	UTIT	㟿
山廿十木	UTJD	巈
山廿大戈廿	UTKIT	豓
山廿中弓	UTLN	剴
山廿一月金	UTMBC	顗
山廿一金	UTMC	𡸷
山廿一十	UTMJ	㠏
山廿一人	UTMO	嵌
山廿一女	UTMV	嵁
山廿弓日山	UTNAU	艷
山廿弓中	UTNL	酆
山廿人水	UTOE	㠛
山廿人大	UTOK	敳
山廿人口	UTOR	㟷
山廿手	UTQ	㟄
山廿手一	UTQM	嵯
山廿口土	UTRG	巏
山廿女戈	UTVI	嵫
山廿田日	UTWA	嶆
山廿田戈	UTWI	嶟
山廿田女	UTWV	嶩
山廿難金	UTXC	嵰
山廿卜水	UTYE	敱
山廿卜女	UTYV	㟐
山山	UU	出屾艸
山山月竹山	UUBHU	觊
山山金水	UUCE	嵕
山山火木	UUFD	粜
山山竹一中	UUHML	㪿
山山竹弓	UUHN	凯
山山十廿	UUJT	㠦
山山大尸	UUKS	㔘
山山大山	UUKU	㟅
山山中弓	UULN	剀
山山一月	UUMB	㟨
山山一月金	UUMBC	䪼
山山一一火	UUMMF	祟
山山一廿	UUMT	嵦
山山弓水	UUNE	崡
山山弓中	UUNL	䢺
山山弓人	UUNO	欪
山山人大	UUOK	𣁋
山山山	UUU	芔
山山山山	UUUU	茻
山山卜心山	UUYPU	䖓
山女戈戈	UVII	幽
山女戈尸	UVIS	岰
山女一戈	UVMI	嶈
山女女田	UVVW	崰
山田十口	UWJR	崓崮
山田中	UWL	岬
山田中月	UWLB	嵎
山田中十	UWLJ	嶧
山田中一	UWLM	㟵
山田中卜	UWLY	嶵㠑
山田一女	UWMV	嵔㟪
山田心	UWP	崽
山田田土	UWWG	㠥
山田卜戈	UWYI	㟂
山卜日	UYA	峕
山卜月月	UYBB	崹
山卜月大	UYBK	巘
山卜月心	UYBP	巃
山卜月尸	UYBS	嵭
山卜月廿	UYBT	巐
山卜金月	UYCB	㠃
山卜金大	UYCK	峧
山卜火山	UYFU	㠇
山卜竹竹	UYHH	嵃
山卜竹一	UYHM	嵼
山卜十	UYJ	㞳
山卜大	UYK	㓙㞵㞶
山卜一口	UYMR	訔
山卜一卜	UYMY	峠
山卜人十	UYOJ	崒
山卜心一	UYPM	㠊
山卜心廿	UYPT	㠠
山卜口	UYR	岾
山卜口月	UYRB	嵩
山卜口木	UYRD	崞
山卜口弓	UYRN	嵉
山卜口人	UYRO	㠙
山卜口女	UYRV	㠤
山卜尸木	UYSD	崺
山卜尸一	UYSM	屿
山卜尸女	UYSV	㠡
山卜廿	UYT	岦
山卜廿土	UYTG	㠉
山卜廿戈	UYTI	巇
山卜廿十	UYTJ	峷嶂
山卜廿口	UYTR	㟝嵜﨑
山卜女人	UYVO	峐
女	V	女
女日日	VAA	娼
女日月	VAB	𡝭
女日月廿	VABT	媪
女日月山	VABU	媢
女日竹一	VAHM	𡟙
女日竹山	VAHU	媚
女日一	VAM	妲
女日一竹	VAMH	婸
女日一十	VAMJ	娨
女日一人	VAMO	媞
女日弓日	VANA	𡢃
女日弓月	VANB	嫺
女日弓木	VAND	嫻
女日弓大	VANK	𡢄
女日弓田	VANW	孄
女日心竹	VAPH	㛫
女日心心	VAPP	婫
女日山	VAU	妑
女日田水	VAWE	嫚
女日卜火	VAYF	𡡡
女月日金	VBAC	嫇
女月月水	VBBE	嬡
女月月一	VBBM	姗
女月月手	VBBQ	𡡞
女月月口	VBBR	媧
女月金女	VBCV	孆
女月木	VBD	婇
女月土月	VBGB	㛵
女月土口	VBGR	婤
女月竹火	VBHF	嬀
女月竹土	VBHG	婬
女月竹弓	VBHN	㚮
女月竹難	VBHX	嫍
女月十十	VBJJ	媈
女月大火	VBKF	㜣
女月一	VBM	姐
女月一水	VBME	媛
女月一一	VBMM	㚩
女月一口	VBMR	姛
女月弓木	VBND	娐
女月人山	VBOU	媱
女月手	VBQ	𡛾
女月尸木	VBSD	婙
女月廿	VBT	姍
女月山金	VBUC	㛝
女月山土	VBUG	㜹
女月山山	VBUU	娊
女月山女	VBUV	𡢞
女月女	VBV	娞
女月女大	VBVK	㜎
女月女弓月	VBVNB	㣈
女月田木	VBWD	𢑥
女月卜	VBY	𡛓
女金戈	VCI	妐
女金戈一	VCIM	𡟸
女金弓竹	VCNH	娣
女金口山	VCRU	娧
女金尸竹	VCSH	妢
女金田十	VCWJ	婵
女木日一	VDAM	㜁
女木月山	VDBU	㜀
女木木	VDD	㛦
女木木火	VDDF	𡢾
女木木人	VDDO	𡢟
女木竹一中	VDHML	断
女木十	VDJ	妺
女木大	VDK	妜
女木大尸	VDKS	勦
女木中	VDL	娕
女木中金	VDLC	嬾
女木中大	VDLK	嫩
女木中弓	VDLN	剿
女木中人	VDLO	嫰
女木一火	VDMF	𡞫
女木一手	VDMQ	媁
女木弓中	VDNL	鄛
女木人人	VDOO	婡
女木心	VDP	恏
女木口	VDR	𡜺
女木田	VDW	娻
女木田火	VDWF	媡
女水	VE	奴
女水日	VEA	㛥
女水月廿	VEBT	盝
女水月山山	VEBUU	䚄
女水金	VEC	𨥬
女水水水	VEEE	娺
女水竹日火	VEHAF	鴑
女水大尸	VEKS	努
女水中月	VELB	帑
女水中弓	VELN	剝
女水一口	VEMR	砮
女水弓	VEN	㐐弩
女水弓木	VEND	孥
女水弓女一	VENVM	驽
女水人月人	VEOBO	胬
女水心	VEP	怒
女水手	VEQ	拏
女水尸手火	VESQF	駑
女水女戈火	VEVIF	䋈
女水卜水	VEYE	㪖
女火日	VFA	曫
女火日月尸	VFABS	𦄡
女火日月廿	VFABT	緼
女火日火山	VFAFU	縨
女火日一	VFAM	䋎
女火日一人	VFAMO	緹
女火日弓月	VFANB	繝
女火日弓難	VFANX	䌪
女火日心竹	VFAPH	緆
女火日心心	VFAPP	緄
女火日心女	VFAPV	䋵
女火日尸水	VFASE	繓
女火日尸一	VFASM	䌈
女火日山	VFAU	紦
女火日田水	VFAWE	縵
女火月	VFB	娋
女火月月	VFBB	嫦綳
女火月月月	VFBBB	縎
女火月月水	VFBBE	綬
女火月月口	VFBBR	緺
女火月月山	VFBBU	䌐
女火月金口	VFBCR	綗
女火月金女	VFBCV	纓
女火月木	VFBD	𡡢綵
女火月土	VFBG	𡠠
女火月土口	VFBGR	綢
女火月竹難	VFBHX	縚
女火月十十	VFBJJ	緷
女火月大	VFBK	䋄
女火月大火	VFBKF	繎
女火月大大	VFBKK	䋞
女火月一	VFBM	組
女火月一水	VFBME	緩
女火月一心	VFBMP	䌥
女火月一口	VFBMR	絧
女火月弓木	VFBND	綒
女火月人火	VFBOF	縩
女火月人山	VFBOU	䌊
女火月口	VFBR	絅
女火月尸竹	VFBSH	絼
女火月廿山	VFBTU	綱
女火月廿女	VFBTV	網
女火月山	VFBU	矕
女火月山竹	VFBUH	緲
女火月山人	VFBUO	繉
女火月山山	VFBUU	絸
女火月女	VFBV	𡣖綏
女火月女大	VFBVK	縘
女火月田	VFBW	㜭
女火金	VFC	䋮鑾
女火金戈心	VFCIP	総
女火金弓竹	VFCNH	綈
女火金人口	VFCOR	綌
女火金口心	VFCRP	縂
女火金口山	VFCRU	綐
女火金尸竹	VFCSH	紛
女火金田日	VFCWA	繒
女火木	VFD	欒䊾
女火木月山	VFDBU	緗
女火木木	VFDD	綝
女火木木火	VFDDF	䌝
女火木竹	VFDH	䊷
女火木竹水	VFDHE	紴
女火木戈	VFDI	紂
女火木大	VFDK	䊽
女火木中	VFDL	綀
女火木一	VFDM	絊
女火木一手	VFDMQ	緯
女火木人人	VFDOO	䋱
女火木手	VFDQ	嫾
女火木女	VFDV	𡞱
女火木田火	VFDWF	練
女火水	VFE	灓
女火水水木	VFEED	縔
女火水水水	VFEEE	綴
女火水土	VFEG	経
女火火	VFF	婒𤓖
女火火月	VFFB	綃
女火火月弓	VFFBN	䌃
女火火月口	VFFBR	緔
女火火木	VFFD	嬫䋛
女火火木手	VFFDQ	繗
女火火火	VFFF	緂
女火火火火	VFFFF	𦇝
女火火竹	VFFH	紗
女火火一山	VFFMU	絖
女火火手	VFFQ	絆
女火火手山	VFFQU	綣
女火火女	VFFV	䋝
女火土月山	VFGBU	続
女火土金水	VFGCE	綾
女火土土	VFGG	絓
女火土土戈	VFGGI	䋽
女火土土山	VFGGU	繞
女火土戈	VFGI	紶
女火土弓戈	VFGNI	䌧
女火土人田	VFGOW	繬
女火土心	VFGP	綕
女火土口	VFGR	結
女火土口金	VFGRC	纈
女火土口口	VFGRR	繥
女火土廿十	VFGTJ	緈
女火土田金	VFGWC	續
女火竹	VFH	妙
女火竹日	VFHA	絈
女火竹日月	VFHAB	綿
女火竹日水	VFHAE	線
女火竹日火	VFHAF	鷥𪆓鸞
女火竹金水	VFHCE	繌
女火竹木火	VFHDF	䋺
女火竹木十	VFHDJ	䌀
女火竹木尸	VFHDS	綉
女火竹木女	VFHDV	緌
女火竹木田	VFHDW	繙
女火竹水十	VFHEJ	綘
女火竹水手	VFHEQ	絳
女火竹水口	VFHER	絡
女火竹水卜	VFHEY	終
女火竹土	VFHG	紝
女火竹土火	VFHGF	纁
女火竹竹十	VFHHJ	綼
女火竹十	VFHJ	䊹
女火竹十木	VFHJD	絑
女火竹十水	VFHJE	緞
女火竹十土	VFHJG	緟
女火竹十一	VFHJM	綞
女火竹十口	VFHJR	絬䌣
女火竹十山	VFHJU	䋸
女火竹大月	VFHKB	繑
女火竹一中	VFHML	紤
女火竹人弓	VFHON	絎
女火竹人人	VFHOO	縰縱
女火竹人口	VFHOR	綹
女火竹心日	VFHPA	緍
女火竹手	VFHQ	䋅
女火竹手人	VFHQO	紩
女火竹手山	VFHQU	䋃
女火竹尸月	VFHSB	編
女火竹尸大	VFHSK	綟繳
女火竹山金	VFHUC	纘
女火竹山戈	VFHUI	䌆
女火竹女心	VFHVP	紙
女火竹田心	VFHWP	總
女火竹難山	VFHXU	䋩
女火戈月戈	VFIBI	縛
女火戈木	VFID	絉
女火戈木木	VFIDD	䌕
女火戈竹火	VFIHF	縬
女火戈竹口	VFIHR	緘
女火戈竹尸	VFIHS	絾
女火戈竹女	VFIHV	縅
女火戈戈	VFII	綫
女火戈戈竹	VFIIH	縿
女火戈十	VFIJ	絨
女火戈十月	VFIJB	䋠
女火戈十水	VFIJE	絿
女火戈大	VFIK	紁紎
女火戈大大	VFIKK	紱
女火戈大山	VFIKU	紌
女火戈中中	VFILL	絒
女火戈中口	VFILR	䌅
女火戈一人	VFIMO	絘
女火戈口	VFIR	紿
女火戈口一	VFIRM	緎
女火戈口心	VFIRP	緿
女火戈尸	VFIS	䋆
女火戈尸竹	VFISH	𦆲
女火戈廿金	VFITC	纊
女火戈女	VFIV	䋐
女火戈田土	VFIWG	纏
女火戈難心	VFIXP	䌒
女火十	VFJ	卛
女火十月金	VFJBC	縝
女火十月木	VFJBD	綍
女火十月火	VFJBF	䌇
女火十月十	VFJBJ	䋻
女火十金	VFJC	䋉
女火十金一	VFJCM	𦁈
女火十戈金	VFJIC	繊
女火十戈戈	VFJII	縳
女火十戈一	VFJIM	纎
女火十戈心	VFJIP	繐
女火十大日	VFJKA	緒
女火十大戈	VFJKI	綋
女火十中人	VFJLO	緁
女火十中女	VFJLV	緀
女火十一金	VFJMC	縯繽
女火十一火	VFJMF	綜
女火十一一	VFJMM	縇
女火十一弓	VFJMN	紵𦅜
女火十一人	VFJMO	綻
女火十一山	VFJMU	綄
女火十弓山	VFJNU	綩
女火十人日	VFJOA	縮
女火十心	VFJP	紽
女火十心弓	VFJPN	𦆭
女火十心山	VFJPU	䌏
女火十手口	VFJQR	縖
女火十口口	VFJRR	綰
女火十卜十	VFJYJ	縡
女火大	VFK	奱
女火大月	VFKB	絠
女火大金火	VFKCF	繚
女火大戈	VFKI	紘
女火大大	VFKK	䋂
女火大大月	VFKKB	絺
女火大一口	VFKMR	綺
女火大一尸	VFKMS	絝
女火大弓	VFKN	䊵
女火大弓戈	VFKNI	紈
女火大弓十	VFKNJ	紣
女火大弓弓	VFKNN	䋾
女火大人人	VFKOO	綊
女火大心月	VFKPB	𦄂
女火大尸	VFKS	糼
女火中月	VFLB	㡩
女火中月戈	VFLBI	𥿢
女火中月大	VFLBK	紻
女火中月山	VFLBU	紞
女火中土一	VFLGM	繣
女火中中中	VFLLL	紃
女火中中弓	VFLLN	紼
女火中一金	VFLMC	繢
女火中一戈	VFLMI	蠻
女火中一人	VFLMO	絩
女火中一卜	VFLMY	緋
女火中心月	VFLPB	䋳
女火中手	VFLQ	䋖
女火中田	VFLW	紬
女火中田中	VFLWL	紳
女火中田心	VFLWP	絏
女火中田女	VFLWV	縷
女火中難	VFLX	繡
女火一	VFM	紅
女火一日	VFMA	絔
女火一日一	VFMAM	絙
女火一月月	VFMBB	繻
女火一月金	VFMBC	䋶
女火一月水	VFMBE	䌄纋
女火一月戈	VFMBI	繧䌢䌳
女火一月大	VFMBK	緛𦅙
女火一月一	VFMBM	絚
女火一月山	VFMBU	䌮
女火一金田	VFMCW	絤
女火一木	VFMD	紆
女火一火	VFMF	紑
女火一火月	VFMFB	䌤
女火一火一	VFMFM	䋔
女火一土大	VFMGK	緻
女火一竹火	VFMHF	縓
女火一戈日	VFMIA	縉
女火一戈土	VFMIG	絰
女火一大心	VFMKP	䋬
女火一中月	VFMLB	緉
女火一中大	VFMLK	綆
女火一一戈	VFMMI	紜
女火一一心	VFMMP	纚
女火一一尸	VFMMS	䊸
女火一弓	VFMN	糽
女火一弓口	VFMNR	䋍
女火一人月	VFMOB	䋑
女火一口水	VFMRE	𦂥
女火一口田	VFMRW	䋹
女火一山	VFMU	姯
女火一女戈	VFMVI	縟
女火一女一	VFMVM	䊺經
女火一女弓	VFMVN	㽋
女火一田木	VFMWD	䌚
女火一田火	VFMWF	縹
女火一田土	VFMWG	緸緾纒
女火一田中	VFMWL	緬
女火一田一	VFMWM	繮
女火一田女	VFMWV	䌁
女火一卜一	VFMYM	䋊
女火弓	VFN	彎
女火弓日山	VFNAU	絶絻
女火弓月手	VFNBQ	繲
女火弓木	VFND	孿
女火弓木木	VFNDD	㝈
女火弓土	VFNG	紐
女火弓竹月	VFNHB	繘
女火弓竹木	VFNHD	䋴
女火弓竹水	VFNHE	級
女火弓戈	VFNI	紭
女火弓戈竹	VFNIH	䋒
女火弓戈戈	VFNII	繈
女火弓戈弓	VFNIN	紓
女火弓大火	VFNKF	繺
女火弓大土	VFNKG	綎
女火弓大一	VFNKM	綖
女火弓中	VFNL	紖
女火弓中口	VFNLR	䋪
女火弓一水	VFNME	緑
女火弓一人	VFNMO	縁
女火弓人	VFNO	䊻
女火弓人月	VFNOB	縃
女火弓口戈	VFNRI	纔
女火弓尸木	VFNSD	䋫
女火弓尸一	VFNSM	䋓
女火弓尸廿	VFNST	䋼
女火人日水	VFOAE	緮
女火人月	VFOB	納
女火人月人	VFOBO	臠
女火人木戈	VFODI	紨
女火人土	VFOG	維
女火人土木	VFOGD	䌖
女火人竹土	VFOHG	絍
女火人竹竹	VFOHH	紾
女火人戈戈	VFOII	紷
女火人戈大	VFOIK	絥
女火人戈一	VFOIM	纖
女火人戈弓	VFOIN	紟
女火人戈心	VFOIP	𦁤
女火人大	VFOK	變
女火人中木	VFOLD	縧
女火人中中	VFOLL	紒
女火人一日	VFOMA	繪
女火人一月	VFOMB	綸
女火人一木	VFOMD	䋡
女火人一土	VFOMG	絟
女火人一戈	VFOMI	絵
女火人一大	VFOMK	緶
女火人一弓	VFOMN	緰
女火人一人	VFOMO	䌞
女火人一口	VFOMR	給
女火人弓	VFON	紇
女火人弓大	VFONK	緱
女火人人人	VFOOO	緃
女火人心木	VFOPD	絁
女火人口木	VFORD	緥
女火人尸	VFOS	䋏
女火人廿火	VFOTF	䌗
女火人廿人	VFOTO	纀
女火人田卜	VFOWY	䋦
女火心	VFP	戀
女火心日	VFPA	絢
女火心木	VFPD	䊶
女火心戈	VFPI	約
女火心大心	VFPKP	緫
女火心一一	VFPMM	緪
女火心人山	VFPOU	綯
女火心心	VFPP	紕
女火心口	VFPR	絇
女火心廿	VFPT	紲
女火心廿木	VFPTD	緤
