日	A	日曰
日人心十	AOPJ	晔
日人手尸	AOQS	韪
日人口一	AORM	㬛
日人田卜	AOWY	晦
日心	AP	㫐
日心日	APA	㫬
日心竹日火	APHAF	鵾
日心竹竹	APHH	昒易
日心竹山	APHU	晓
日心戈	API	旳
日心戈一	APIM	昀
日心一一	APMM	暅
日心心	APP	昆
日心心卜一	APPYM	鹍
日心口	APR	昫
日心山	APU	旽
日心女人	APVO	曷
日手竹中	AQHL	晣
日手十一	AQJM	暳
日手十心	AQJP	㬩
日手大日	AQKA	暙
日手一月	AQMB	晴
日手人	AQO	㫙
日口火	ARF	煦照
日口竹山	ARHU	㫛
日口一木	ARMD	冔
日口心日	ARPA	㬆
日口口十	ARRJ	暺
日口口大	ARRK	曮
日口卜水	ARYE	暇
日尸水戈	ASEI	曯
日尸火	ASF	煝
日尸竹	ASH	旫
日尸竹口	ASHR	昭
日尸十水	ASJE	最
日尸十尸	ASJS	朂
日尸大口	ASKR	𣇉
日尸一月	ASMB	㫶
日尸一土	ASMG	曜
日尸一竹	ASMH	㬔
日尸心	ASP	昵
日尸尸	ASS	昛
日尸廿口	ASTR	暱
日廿	AT	㫒
日廿日	ATA	𣈏
日廿日大	ATAK	暯
日廿月金	ATBC	晪
日廿月人	ATBO	曚
日廿金	ATC	显
日廿金木	ATCD	曗
日廿金水	ATCE	暴
日廿金口	ATCR	謈
日廿土戈	ATGI	㬢㬣
日廿土尸	ATGS	曦𣌀
日廿戈廿	ATIT	㬒
日廿中月	ATLB	暪
日廿中金	ATLC	曂
日廿中火	ATLF	曣
日廿中大	ATLK	暎
日廿中人	ATLO	暵
日廿一十	ATMJ	曄
日廿弓大	ATNK	𣋒
日廿人水	ATOE	㬦
日廿人土	ATOG	㬮
日廿手一	ATQM	暛
日廿口大	ATRK	曔
日廿田	ATW	𣈴
日廿卜尸	ATYS	𣇷
日山	AU	巴旵
日山日一	AUAM	暨
日山日女	AUAV	㬞
日山月	AUB	䐴
日山月廿	AUBT	䀈
日山木	AUD	㮣槩
日山水	AUE	㫞
日山火木	AUFD	䊠
日山土	AUG	塈
日山竹日火	AUHAF	鶥
日山竹手山	AUHQU	毷
日山大尸	AUKS	勖
日山一廿	AUMT	暟
日山弓中	AUNL	郿
日山弓田火	AUNWF	鱀
日山心卜一	AUPYM	鹛
日山口心	AURP	巼
日山山	AUU	岊昢𣅽
日山山木	AUUD	㬥
日山山火	AUUF	㬧
日山山十	AUUJ	曓
日山卜水	AUYE	㪞
日山卜廿	AUYT	䇒
日女	AV	妟艮
日女土	AVG	垦
日女竹日火	AVHAF	䳛鶡鷃鷐
日女竹中	AVHL	曏
日女竹手山	AVHQU	毼
日女戈火	AVIF	㬎
日女戈戈	AVII	𣊉
日女大尸	AVKS	㔠
日女中弓	AVLN	㓭
日女一月金	AVMBC	䫘
日女弓水	AVNE	㫽
日女弓人	AVNO	歇
日女人土	AVOG	䨃
日女心	AVP	恳
日女心卜一	AVPYM	鹖
日田中日	AWLA	曙
日田中月	AWLB	㬂
日田中水	AWLE	曼
日田中土	AWLG	曪
日田中十	AWLJ	曎
日田中尸	AWLS	㬅
日卜日火	AYAF	㬌
日卜日十	AYAJ	晫
日卜月土	AYBG	㒿
